# Lane B peak/lifetime trace (HEAD 013f1f7). peak_qubits=1302 at phase=dialog_gcd_compressed_block_tobitvector_shift ops_idx=1096242 total_ops=9777634
# distinct phases reaching 1302q: dialog_gcd_compressed_block_tobitvector_branch_bits(4 sites), dialog_gcd_compressed_block_tobitvector_compress_block(2 sites), dialog_gcd_compressed_block_tobitvector_cswap(4 sites), dialog_gcd_compressed_block_tobitvector_reverse_add(4 sites), dialog_gcd_compressed_block_tobitvector_reverse_branch_bits(4 sites), dialog_gcd_compressed_block_tobitvector_reverse_cswap(4 sites), dialog_gcd_compressed_block_tobitvector_shift(6 sites), dialog_gcd_compressed_block_tobitvector_subtract(4 sites), dialog_gcd_raw_tobitvector_materialized_add_body(4 sites), dialog_gcd_raw_tobitvector_materialized_add_clear(4 sites), dialog_gcd_raw_tobitvector_materialized_add_load(4 sites), dialog_gcd_raw_tobitvector_materialized_sub_body(4 sites), dialog_gcd_raw_tobitvector_materialized_sub_clear(4 sites), dialog_gcd_raw_tobitvector_materialized_sub_load(4 sites)
# rows below: per-region active-qubit maxima within 7 of peak (source: TRACE_PHASE_ACTIVE_REGIONS)
ops_idx	active_q	phase	level
3019571	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3028816	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3038027	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3047272	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3056483	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3065728	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3074939	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3084184	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3093395	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3102640	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3111851	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3121096	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3130307	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3139552	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3148763	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3158008	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3167219	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3176464	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3185675	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3194920	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3204131	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3213376	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3222587	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3231832	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3241043	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3250288	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3259499	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3268744	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3277955	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3287200	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3296411	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3305656	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3314867	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3324112	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3333323	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3342568	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3351779	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3361024	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3370235	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3379480	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3388691	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3397936	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3407147	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3416392	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3425603	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3434848	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3444059	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3453304	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3462515	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3471760	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3480971	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3490216	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3499427	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3508672	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3517883	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3527128	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3536339	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3545584	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3554795	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3564040	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3573251	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
